size;resolution;mask_size;nanoseconds
3;320x180;15x15;479306800
2;160x90;3x3;3223400
2;160x90;5x5;10108200
2;160x90;7x7;19640800
2;160x90;9x9;40330400
2;160x90;11x11;69822700
2;160x90;13x13;80572100
2;160x90;15x15;115127100
1;80x45;3x3;1117300
1;80x45;5x5;3336000
1;80x45;7x7;6324500
1;80x45;9x9;10409500
1;80x45;11x11;15305000
1;80x45;13x13;14703600
1;80x45;15x15;26827700
5;1280x720;3x3;201651500
5;1280x720;5x5;604945800
5;1280x720;7x7;1230462300
5;1280x720;9x9;2615846800
5;1280x720;11x11;3470653700
5;1280x720;13x13;5001170300
5;1280x720;15x15;6015274100
4;640x360;3x3;64415500
4;640x360;5x5;199727200
4;640x360;7x7;399249600
4;640x360;9x9;693038700
4;640x360;11x11;809024000
4;640x360;13x13;1087836800
4;640x360;15x15;1445812100
3;320x180;3x3;12885800
3;320x180;5x5;39626300
3;320x180;7x7;76579200
3;320x180;9x9;123539300
3;320x180;11x11;190457600
3;320x180;13x13;268383300
3;320x180;15x15;360681200
2;160x90;3x3;3080600
2;160x90;5x5;10855700
2;160x90;7x7;19076000
2;160x90;9x9;30945800
2;160x90;11x11;50825100
2;160x90;13x13;63957400
2;160x90;15x15;86110400
1;80x45;3x3;760900
1;80x45;5x5;3258700
1;80x45;7x7;8070600
1;80x45;9x9;7113300
1;80x45;11x11;11561500
1;80x45;13x13;14471300
1;80x45;15x15;23208300
5;1280x720;3x3;197300700
5;1280x720;5x5;600952000
5;1280x720;7x7;1225810000
5;1280x720;9x9;2032141800
5;1280x720;11x11;3049425300
5;1280x720;13x13;4287713200
5;1280x720;15x15;5740712700
4;640x360;3x3;61023100
4;640x360;5x5;150911000
4;640x360;7x7;301785600
