size;resolution;mask_size;nanoseconds
4;640x360;3x3;6414700
4;640x360;5x5;13033900
4;640x360;7x7;25110900
4;640x360;9x9;38936500
4;640x360;11x11;55039400
4;640x360;13x13;81175500
4;640x360;15x15;102713500
3;320x180;3x3;1874500
3;320x180;5x5;3578600
3;320x180;7x7;6365200
3;320x180;9x9;9139200
3;320x180;11x11;13198400
3;320x180;13x13;18925600
3;320x180;15x15;23813600
2;160x90;3x3;1326600
2;160x90;5x5;1914800
2;160x90;7x7;3438500
2;160x90;9x9;4767400
2;160x90;11x11;6799900
2;160x90;13x13;9280500
2;160x90;15x15;12200500
1;80x45;3x3;1308400
1;80x45;5x5;2011200
1;80x45;7x7;2346100
1;80x45;9x9;3525300
1;80x45;11x11;4552500
1;80x45;13x13;6028300
1;80x45;15x15;7572500
5;1280x720;3x3;21225000
5;1280x720;5x5;48820000
5;1280x720;7x7;88339100
5;1280x720;9x9;143672100
5;1280x720;11x11;219221100
5;1280x720;13x13;288349900
5;1280x720;15x15;366937100
4;640x360;3x3;4899400
4;640x360;5x5;11629500
4;640x360;7x7;21598100
4;640x360;9x9;34846000
4;640x360;11x11;51426600
4;640x360;13x13;71343500
4;640x360;15x15;94555600
3;320x180;3x3;1724300
3;320x180;5x5;3236600
3;320x180;7x7;6003600
3;320x180;9x9;9321300
3;320x180;11x11;13256500
3;320x180;13x13;18477200
3;320x180;15x15;24882300
2;160x90;3x3;1494500
2;160x90;5x5;1753000
2;160x90;7x7;3100400
2;160x90;9x9;4819600
2;160x90;11x11;6682600
2;160x90;13x13;9088300
2;160x90;15x15;11810400
1;80x45;3x3;725800
1;80x45;5x5;1339200
1;80x45;7x7;2071300
1;80x45;9x9;3129400
1;80x45;11x11;4380700
1;80x45;13x13;5873500
1;80x45;15x15;7480400
5;1280x720;3x3;18460300
5;1280x720;5x5;43531200
5;1280x720;7x7;82594400
5;1280x720;9x9;142815800
5;1280x720;11x11;219814100
5;1280x720;13x13;303616500
5;1280x720;15x15;384778000
4;640x360;3x3;5323300
4;640x360;5x5;11835900
4;640x360;7x7;21587000
4;640x360;9x9;35888500
4;640x360;11x11;53322500
4;640x360;13x13;74248300
4;640x360;15x15;97189900
3;320x180;3x3;2026400
3;320x180;5x5;3185100
